#separator:tab
#html:false
姜	goeng 1 A surname
幅	fuk 1 Classifier for textiles and pictures
盛	sing 6 flourishing; prosperous
馳	ci 4 to speed; to gallop
駛	sai 2 to drive (a vehicle); to sail (a vessel); to fly (an aircraft)
擎	king 4 to prop up; to hold up; to lift up
攜	kwai 4 to carry; to bear
曠	kwong 3 broad; vast; extensive
暴	bou 6 violent; cruel; brutal; tyrannical
曬	saai 3 (of the sun) to shine on
遮	ze 1 to block; to obstruct
料	liu 6 to anticipate; to predict; to foresee; to expect
部	bou 6 part; division; section
珍	zan 1 treasure
垂	seoi 4 to suspend; to hang (down); bend (down)
叮	ding 1 to advise; to urge; to repeat what one says to make sure
囑	zuk 1 to enjoin; to urge; to instruct
檳	ban 1 second character in champagne
添	tim 1 to add; to increase; to supplement; to fill
霄	siu 1 sky; heaven
辰	san 4 time; day; season
韻	wan 6 sweet music; melodious tune
窘	gwan 6 embarrassed
預	jyu 6 beforehand, in advance
臨	lam 6 to be faced with; to be confronted by
際	zai 3 border; boundary; juncture
既	gei 3 already
淪	leon 4 ripple; small waves
憫	man 5 to sympathize; to pity; to feel compassion for
遷	cin 1 to change; to shift; to transfer
宣	syun 1 (literary or in compounds) to declare; to announce; to proclaim
洩	sit 3 to reveal; to divulge (eg. secrets)
準	zeon 2 accurate; exact
齒	ci 2 to utter; to mention
把	baa 2 to hold; to grasp; to take
附	fu 6 to add; to augment; to increase; to raise; to boost
草	cou 2 herbaceous plant; herb; weed; wort; grass; forb
浸	zam 3 to soak; to sit in water (or liquid)
翁	jung 1 elderly man
婦	fu 5 married woman
飾	sik 1 ornament; decorations; adornments
返	faan 2 to return (to); to come or go back (to)
筆	bat 1 writing brush
尖	zim 1 sharp; having a sharp tip; pointy
箱	soeng 1 (large) box; chest; trunk
投	tau 4 to put in; to drop
煮	zyu 2 to boil; to cook
翻	faan 1 to flip over; to turn over; to reverse; to toss
頁	jip 6 page
搜	sau 1 to seek; to look for
教	gau 1 to teach; to instruct
藝	ngai 1 art
術	seot 6 art; craft; skill; technique
竭	kit 3 to dry up; to drain
惑	waak 6 confused; puzzled; deluded
替	tai 3 to substitute for; to displace
汗	hon 6 sweat; perspiration
燎	liu 4 torch
搏	bok 3 to come to blows
勝	sing 1 to be able to bear; to be able to withstand
枉	wong 2 bent; crooked
迎	jing 4 to receive; to welcome; to greet; to meet
耀	jiu 6 to shine; to sparkle
瑩	jing 4 lustrous and transparent
屬	suk 6 to belong to
刪	saan 1 to delete
絲	si 1 trace; tiny bit
趕	gon 2 to overtake; to catch up with
客	haak 3 guest; visitor
煩	fan 2 to annoy; to bother
諸	zyu 1 many; each; every; all
奇	kei 4 strange; odd; weird; unusual
騷	sou 1 to harass; to bother; to annoy; to disturb; to agitate
絡	lok 3 to enmesh; to wrap around
川	cyun 1 river; stream; brook
鰥	gwaan 1 widower
絆	bun 6 to hinder; to restrain
淡	taam 5 bland; tasteless
藉	ze 6 even if
遺	wai 4 to lose; to lose track of
頑	waan 4 obstinate; stubborn; recalcitran
告	gou 3 to report to
式	sik 1 ritual; ceremony
喪	song 1 mourning; funeral ceremony
抽	cau 1 to draw lots
懇	han 2 sincere; earnest; cordial
巉	caam 4 precipitous; steep
納	naap 6 to accept; to take on
稜	ling 4 arris; edge; corner
獲	wok 6 to catch
凸	dat 6 protruding; sticking out
凹	nap 1 concave; hollow; sunken; dented
瑕	haa 4 flaw; blemish
諧	haai 4 to harmonize; to coordinate; to fit together
鄰	leon 4 neighbor; neighborhood
鎮	zan 3 to press down; to suppress; to repress; to subdue
邪	ce 4 wrong; evil; depraved; vicious; perverse; heterodox
頹	teoi 4 dejected; depressed; down; listless
潘	pun 1 (Greek mythology) Pan
拉	laai 1 to pull; to drag; to tug
蓋	goi 3 cover; cap; lid  koi 3 to cover; to conceal
禮	lai 5 gift
揀	gaan 2 to choose; to pick
控	hung 3 to control; to take charge of
譜	pou 2 register; list; table
罕	hon 2 rare; scarce
荊	ging 1 chaste tree (Vitex); redbud (Cercis)
棘	gik 1 thorny bush; bramble
帳	zoeng 3 tent; curtain
壯	zong 3 strong; robust
揮	fai 1 to direct; to command
棒	paang 5 stick; club; truncheon
碼	maa 5 digit; number; code
降	gong 3 to fall; to drop; to descend; to come down
徒	tou 4 bare; plain
挑	tiu 1 to pick; to select; to choose
碰	pung 3 to collide; to bump; to knock; to touch
瞬	seon 3 instant; moment; blink of an eye
邪	ce 4 wrong; evil; depraved; vicious; perverse; heterodox
頹	teoi 4 dejected; depressed; down; listless
潘	pun 1 (Greek mythology) Pan
拉	laai 1 to pull; to drag; to tug
蓋	goi 3 cover; cap; lid  koi 3 to cover; to conceal
禮	lai 5 gift
揀	gaan 2 to choose; to pick
控	hung 3 to control; to take charge of
譜	pou 2 register; list; table
罕	hon 2 rare; scarce
荊	ging 1 chaste tree (Vitex); redbud (Cercis)
棘	gik 1 thorny bush; bramble
帳	zoeng 3 tent; curtain
壯	zong 3 strong; robust
揮	fai 1 to direct; to command
棒	paang 5 stick; club; truncheon
碼	maa 5 digit; number; code
降	gong 3 to fall; to drop; to descend; to come down
徒	tou 4 bare; plain
挑	tiu 1 to pick; to select; to choose
碰	pung 3 to collide; to bump; to knock; to touch
瞬	seon 3 instant; moment; blink of an eye
達	daat 6 to reach; to arrive at
掙	zaang 1 to earn; to make
勝	sing 1 to be able to bear; to be able to withstand
取	ceoi 2 to select; to choose
消	siu 1 to disappear; to vanish; to die down; to settle down
系	hai 6 to belong to; to be part of; to fall under; to be categorised as; to be classified as
蜉	fau 4 first character in mayfly (fau 4 jau 4)
蝣	jau 4 second character in mayfly (fau 4 jau 4)
廻	wui 4 to revolve; to rotate
垢	gau 3 filth; dirt
拗	aau 3 to defy; to disobey
准	zeon 2 to allow; to grant; to permit
罵	maa 6 to curse; to swear
撤	cit 3 to take away; to remove; to clear away
押	aat 6 to arrest; to detain; to guard; to take into custody
醜	cau 2 ugly; homely; hideous
嘲	zaau 1 to ridicule; to deride; to scorn; to jeer at
恍	fong 2 seemingly, as if
惚	fat 1 absent-minded; confused
謊	fong 1 lie; untruth
射	se 6 to shoot (an arrow); to fire
處	cyu 2 to reside; to live; to dwell
緩	wun 6 to postpone; to delay; to have a pause
執	zap 1 to pick up
迷	mai 4 to get lost
究	gau 3 to reach the end or limit; to exhaust
抑	jik 1 to repress; to suppress; to restrain; to restrict
揹	bui 3 to carry on the back
一	yat 1 one
下	haa 6 below; under; next
不	bat 1 not
世	sai 3 world; generation
中	zung 1 middle; center
了	liu 5 completed action marker
事	si 6 affair; matter; thing
二	ji 6 two
今	gam 1 today; now
以	ji 5 using; by means of
你	nei 5 you
個	go 3 classifier for people or items
們	mun 4 plural marker for pronouns
儍	so 4 foolish; silly
償	soeng 4 to repay; to compensate
到	dou 3 to arrive; to reach
十	sap 6 ten
可	ho 2 can; may; able to
喜	hei 2 to be happy; joy
多	do 1 many; much
布	bou 3 cloth; fabric
心	sam 1 heart
我	ngo 5 I; me
篤	duk 1 to poke; to jab
日	jat 6 day; sun
明	ming 4 bright; clear
是	si 6 is; are; am
用	jung 6 to use
的	dik 1 (possessive particle)
脊	zek 3 back (of body)
裸	lo 2 naked; bare
路	lou 6 road; path
力	lik6 power; strength; ability
七	cat1 seven
天	tin1 day; sky
手	sau2 hand
方	fong1 method; way; plan
看	hon3 to look at; to watch; to observe
之	zi1 of; 's (possessive particle)
好	hou2 good; well; proper
鋼	gong1 steel
駁	bok3 to refute; to contradict
怯	hip6 timid; cowardly
騙	pin3 to deceive; to cheat; to trick
子	zi2 child; son; a suffix for nouns
瞞	mun4 to deceive; to hide; to conceal
他	taa1 he; him; other
技	gei6 skill; technique
黑	hak1 black; dark
逼	bik1 to force; to compel; to press
遁	deon6 to escape; to hide away (suggesting breaking free from constraints or reality)
糊	wu4 confused; muddled (part of '糊塗', meaning not thinking clearly or carefree)
塗	tou4 confused; muddled (part of '糊塗', meaning not thinking clearly or carefree)
三	saam1 three
着	zoek6 in the process of; being (used to indicate ongoing action or state, e.g. '忙着', '擺着')
錶	biu1 watch; timepiece
問	man6 to ask; to question (as in questioning or wondering about something)
龍	lung4 dragon (in '烏龍', meaning a blunder or mistake; not literally a dragon)
名	ming4 fame; reputation (as in '名和利', meaning fame and fortune)
和	wo4 and (connecting words, as in 'fame and fortune')
會	wui5 may; might; will (indicating possibility or future action)
棋	kei4 chess; board game (metaphor for navigating life or making choices)
俬	si1 furniture; household items
兩	loeng5 two; a pair
字	zi6 word; character
因	jan1 reason; cause
弄	nung6 to play with; to toy with (as in '玩弄情感' - to toy with feelings)
戒	gaai3 ring (as in '戒指' - ring, specifically a finger ring)
門	mun4 door; entrance
瀟	siu1 carefree; unrestrained (as in '瀟灑' - graceful and carefree)
太	taai3 too; excessively
緻	zi3 delicate; fine (as in '精緻' - exquisite, refined)
衣	ji1 clothes; clothing (as in '衣櫃' - wardrobe)
櫃	gwai6 cabinet; wardrobe
截	zit6 to cut off; to sever (as in '截斷電源' - cut off the power supply)
墟	heoi1 ruins; deserted place (as in '廢墟' - ruins, a metaphor for emptiness)
男	naam4 man; male (as in '男子' - man)
椅	ji2 chair
仁	jan4 benevolent; kind (as in '仁慈' - benevolence, kindness)
慈	ci4 compassionate; merciful (as in '仁慈' - benevolence, kindness)
